Rank,CAND_ID,Category,Similarity_Score,Skill_Match_Score,Final_Score,Matched_Skills,Missing_Skills,Fit_Justification
1,CAND_1717,ENGINEERING,13.53,60.0,32.12,"Git, Machine Learning, Pandas, Python, SQL, Scikit-learn","AWS, Docker, NLP, NumPy","Candidate CAND_1717 possesses several core technical skills required [Git, Machine Learning, Pandas, Python, SQL, Scikit-learn] (60.0% skill match), but their overall resume structure has a lower general textual overlap (13.53%)."
2,CAND_1762,ENGINEERING,20.56,40.0,28.34,"Machine Learning, Pandas, Python, SQL","AWS, Docker, Git, NLP, NumPy, Scikit-learn","Candidate CAND_1762 shows weak overall alignment (20.56% text similarity, 40.0% skill match). Missing critical requirements: [AWS, Docker, Git, NLP, NumPy, Scikit-learn]."
3,CAND_2395,AVIATION,11.23,50.0,26.74,"Docker, Git, NLP, Python, SQL","AWS, Machine Learning, NumPy, Pandas, Scikit-learn","Candidate CAND_2395 shows weak overall alignment (11.23% text similarity, 50.0% skill match). Missing critical requirements: [AWS, Machine Learning, NumPy, Pandas, Scikit-learn]."
4,CAND_1799,ENGINEERING,15.31,40.0,25.19,"AWS, Git, Python, SQL","Docker, Machine Learning, NLP, NumPy, Pandas, Scikit-learn","Candidate CAND_1799 shows weak overall alignment (15.31% text similarity, 40.0% skill match). Missing critical requirements: [Docker, Machine Learning, NLP, NumPy, Pandas, Scikit-learn]."
5,CAND_2199,BANKING,8.16,50.0,24.9,"AWS, Docker, Git, NLP, SQL","Machine Learning, NumPy, Pandas, Python, Scikit-learn","Candidate CAND_2199 shows weak overall alignment (8.16% text similarity, 50.0% skill match). Missing critical requirements: [Machine Learning, NumPy, Pandas, Python, Scikit-learn]."
6,CAND_927,AGRICULTURE,13.92,40.0,24.35,"Pandas, Python, SQL, Scikit-learn","AWS, Docker, Git, Machine Learning, NLP, NumPy","Candidate CAND_927 shows weak overall alignment (13.92% text similarity, 40.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, NumPy]."
7,CAND_930,AGRICULTURE,12.97,40.0,23.78,"AWS, Pandas, Python, SQL","Docker, Git, Machine Learning, NLP, NumPy, Scikit-learn","Candidate CAND_930 shows weak overall alignment (12.97% text similarity, 40.0% skill match). Missing critical requirements: [Docker, Git, Machine Learning, NLP, NumPy, Scikit-learn]."
8,CAND_1340,AUTOMOBILE,12.72,40.0,23.63,"NumPy, Pandas, Python, SQL","AWS, Docker, Git, Machine Learning, NLP, Scikit-learn","Candidate CAND_1340 shows weak overall alignment (12.72% text similarity, 40.0% skill match). Missing critical requirements: [AWS, Docker, Git, Machine Learning, NLP, Scikit-learn]."
9,CAND_2153,BANKING,18.2,30.0,22.92,"Machine Learning, Python, SQL","AWS, Docker, Git, NLP, NumPy, Pandas, Scikit-learn","Candidate CAND_2153 shows weak overall alignment (18.2% text similarity, 30.0% skill match). Missing critical requirements: [AWS, Docker, Git, NLP, NumPy, Pandas, Scikit-learn]."
10,CAND_1349,AUTOMOBILE,18.14,30.0,22.88,"Machine Learning, Python, SQL","AWS, Docker, Git, NLP, NumPy, Pandas, Scikit-learn","Candidate CAND_1349 shows weak overall alignment (18.14% text similarity, 30.0% skill match). Missing critical requirements: [AWS, Docker, Git, NLP, NumPy, Pandas, Scikit-learn]."
