CAND_ID,Similarity_Score,Skill Match %,Final_Score,Matched Skills,Missing Skills
CAND_1717,13.53,60.0,32.12,"Git, Machine Learning, Pandas, Python, SQL, Scikit-learn","AWS, Docker, NLP, NumPy"
CAND_1762,20.56,40.0,28.34,"Machine Learning, Pandas, Python, SQL","AWS, Docker, Git, NLP, NumPy, Scikit-learn"
CAND_2395,11.23,50.0,26.74,"Docker, Git, NLP, Python, SQL","AWS, Machine Learning, NumPy, Pandas, Scikit-learn"
CAND_1799,15.31,40.0,25.19,"AWS, Git, Python, SQL","Docker, Machine Learning, NLP, NumPy, Pandas, Scikit-learn"
CAND_2199,8.16,50.0,24.9,"AWS, Docker, Git, NLP, SQL","Machine Learning, NumPy, Pandas, Python, Scikit-learn"
CAND_927,13.92,40.0,24.35,"Pandas, Python, SQL, Scikit-learn","AWS, Docker, Git, Machine Learning, NLP, NumPy"
CAND_930,12.97,40.0,23.78,"AWS, Pandas, Python, SQL","Docker, Git, Machine Learning, NLP, NumPy, Scikit-learn"
CAND_1340,12.72,40.0,23.63,"NumPy, Pandas, Python, SQL","AWS, Docker, Git, Machine Learning, NLP, Scikit-learn"
CAND_2153,18.2,30.0,22.92,"Machine Learning, Python, SQL","AWS, Docker, Git, NLP, NumPy, Pandas, Scikit-learn"
CAND_1349,18.14,30.0,22.88,"Machine Learning, Python, SQL","AWS, Docker, Git, NLP, NumPy, Pandas, Scikit-learn"
CAND_299,22.47,20.0,21.48,"AWS, Python","Docker, Git, Machine Learning, NLP, NumPy, Pandas, SQL, Scikit-learn"
CAND_1219,14.72,30.0,20.83,"Machine Learning, Python, SQL","AWS, Docker, Git, NLP, NumPy, Pandas, Scikit-learn"
CAND_1750,13.09,30.0,19.85,"Git, Python, SQL","AWS, Docker, Machine Learning, NLP, NumPy, Pandas, Scikit-learn"
CAND_2457,10.03,30.0,18.02,"AWS, Git, SQL","Docker, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1764,22.0,10.0,17.2,Machine Learning,"AWS, Docker, Git, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_298,8.23,30.0,16.94,"AWS, Git, SQL","Docker, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1756,14.51,20.0,16.71,"Python, SQL","AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn"
CAND_332,7.84,30.0,16.7,"AWS, Python, SQL","Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn"
CAND_845,12.35,20.0,15.41,"Python, SQL","AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn"
CAND_747,24.49,0.0,14.69,,"AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, SQL, Scikit-learn"
CAND_663,10.23,20.0,14.14,"Python, SQL","AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn"
CAND_1732,9.85,20.0,13.91,"Python, SQL","AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn"
CAND_1112,9.71,20.0,13.83,"Git, SQL","AWS, Docker, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_1695,9.44,20.0,13.66,"Python, SQL","AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn"
CAND_125,8.94,20.0,13.36,"Git, SQL","AWS, Docker, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_264,8.81,20.0,13.29,"AWS, SQL","Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_320,8.71,20.0,13.23,"Git, SQL","AWS, Docker, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_316,8.69,20.0,13.21,"Python, SQL","AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn"
CAND_1235,8.29,20.0,12.97,"AWS, SQL","Docker, Git, Machine Learning, NLP, NumPy, Pandas, Python, Scikit-learn"
CAND_292,8.07,20.0,12.84,"Python, SQL","AWS, Docker, Git, Machine Learning, NLP, NumPy, Pandas, Scikit-learn"
